strain,phage,interaction
ECOR42,LF73_P4,0
ROAR036,LF73_P4,0
NILS05,LF73_P4,0
ROAR387,LF73_P4,0
B6A1,LF73_P4,0
ECOR31,LF73_P4,0
LMR3158,LF73_P4,0
ROAR131,LF73_P4,0
ROAR059,LF73_P4,1
EDL933,LF73_P4,0
ECOR37,LF73_P4,1
ROAR029,LF73_P4,0
ROAR012,LF73_P4,0
NILS45,LF73_P4,0
TW10509,LF73_P4,1
NILS31,LF73_P4,1
370D,LF73_P4,0
M863,LF73_P4,0
B49,LF73_P4,1
ECOR54,BCH953_P2,1
ECOR52,BCH953_P2,0
ECOR51,BCH953_P2,1
ECOR55,BCH953_P2,0
ECOR57,BCH953_P2,1
NILS59,BCH953_P2,0
NILS71,BCH953_P2,0
ECOR56,BCH953_P2,1
NILS74,BCH953_P2,1
NILS79,BCH953_P2,0
NILS72,BCH953_P2,0
NILS29,BCH953_P2,0
NILS65,BCH953_P2,1
536,BCH953_P2,1
NILS81,BCH953_P2,1
NILS82,BCH953_P2,1
NILS78,BCH953_P2,0
NILS57,BCH953_P2,0
AL505,BCH953_P2,1
NILS67,BCH953_P2,0
ECOR61,BCH953_P2,1
ECOR62,BCH953_P2,0
NILS68,BCH953_P2,0
NILS21,BCH953_P2,0
NILS66,BCH953_P2,1
ECOR59,BCH953_P2,0
ECOR60,BCH953_P2,1
NILS75,BCH953_P2,1
NILS70,BCH953_P2,0
ECOR53,BCH953_P2,1
NILS54,BCH953_P2,0
T145,BCH953_P2,0
NILS62,BCH953_P2,1
MT1B1,BCH953_P2,1
NILS61,BCH953_P2,0
LF82,BCH953_P2,1
NILS26,BCH953_P2,1
NILS80,BCH953_P2,1
ED1A,BCH953_P2,1
NILS20,BCH953_P2,0
381A,BCH953_P2,0
ECOR65,BCH953_P2,1
NILS77,BCH953_P2,0
ECOR64,BCH953_P2,0
NILS28,BCH953_P2,0
NILS58,BCH953_P2,0
ECOR63,BCH953_P2,1
NILS64,BCH953_P2,0
NILS25,BCH953_P2,0
NILS55,BCH953_P2,0
NILS27,BCH953_P2,1
NILS73,BCH953_P2,1
NILS19,BCH953_P2,0
LM33,BCH953_P2,0
NILS44,BCH953_P2,1
NILS53,BCH953_P2,0
NILS76,BCH953_P2,0
NILS63,BCH953_P2,1
NILS69,BCH953_P2,0
ECOR66,BCH953_P2,1
DEC2A,BCH953_P2,0
DEC1A,BCH953_P2,1
NILS60,BCH953_P2,0
ROAR434,BCH953_P2,1
921A,BCH953_P2,0
916A,BCH953_P2,0
ECOR38,BCH953_P2,0
ECOR39,BCH953_P2,1
ECOR41,BCH953_P2,0
ECOR40,BCH953_P2,0
IAI39,BCH953_P2,0
ECOR35,BCH953_P2,0
ECOR36,BCH953_P2,0
NILS36,BCH953_P2,0
NILS01,BCH953_P2,0
NILS39,BCH953_P2,0
NILS50,BCH953_P2,1
NILS46,BCH953_P2,0
NILS18,BCH953_P2,0
ECOR47,BCH953_P2,1
ECOR44,BCH953_P2,1
NILS38,BCH953_P2,1
NILS51,BCH953_P2,0
ECOR49,BCH953_P2,0
ECOR50,BCH953_P2,0
NILS56,BCH953_P2,0
ECOR46,BCH953_P2,0
NILS42,BCH953_P2,1
NILS52,BCH953_P2,1
ECOR48,BCH953_P2,0
NILS23,BCH953_P2,1
H14,BCH953_P2,0
ROAR400,BCH953_P2,0
NILS49,BCH953_P2,0
NILS24,BCH953_P2,0
H4,BCH953_P2,0
H48,BCH953_P2,1
ECOR34,BCH953_P2,0
ECOR32,BCH953_P2,0
ECOR33,BCH953_P2,0
ECOR30,BCH953_P2,0
ECOR29,BCH953_P2,0
ECOR67,BCH953_P2,1
NILS02,BCH953_P2,0
ECOR26,BCH953_P2,0
ECOR27,BCH953_P2,1
ECOR28,BCH953_P2,0
ECOR45,BCH953_P2,1
55989,BCH953_P2,1
NILS33,BCH953_P2,0
ECOR69,BCH953_P2,0
ECOR58,BCH953_P2,1
ECOR72,BCH953_P2,1
NILS47,BCH953_P2,1
ECOR70,BCH953_P2,0
ECOR71,BCH953_P2,1
NILS15,BCH953_P2,0
NILS48,BCH953_P2,0
NILS34,BCH953_P2,0
NILS40,BCH953_P2,0
ECOR11,BCH953_P2,0
NILS09,BCH953_P2,0
NILS30,BCH953_P2,0
NILS32,BCH953_P2,0
NILS06,BCH953_P2,0
NILS22,BCH953_P2,0
NILS16,BCH953_P2,0
NILS35,BCH953_P2,0
ECOR10,BCH953_P2,0
